identifier	name
AT1G03150	AT1G03150
AT1G03160	AT1G03160
AT1G03165	AT1G03165
AT1G03170	AT1G03170
AT1G03180	AT1G03180
AT1G03190	AT1G03190
AT1G03200	AT1G03200
AT1G03210	F15K9-19
AT1G03220	AT1G03220
AT1G03230	AT1G03230
AT1G03240	AT1G03240
AT1G03250	AT1G03250
AT1G03260	AT1G03260
AT1G03270	AT1G03270
AT1G03280	AT1G03280
AT1G03290	AT1G03290
AT1G03300	AT1G03300
AT1G03310	AT1G03310
AT1G03320	AT1G03320
AT1G03325	AT1G03325
AT1G03330	AT1G03330
AT1G03340	AT1G03340
AT1G03350	AT1G03350
AT1G03360	AT1G03360
AT1G03365	AT1G03365
AT1G03370	AT1G03370
AT1G03380	AT1G03380
AT1G03390	F21B7-2
AT1G03395	AT1G03395
AT1G03400	F21B7-39
AT1G03410	AT1G03410
AT1G03430	AT1G03430
AT1G03440	AT1G03440
AT1G03445	AT1G03445
AT1G03457	AT1G03457
AT1G03470	AT1G03470
AT1G03475	AT1G03475
AT1G03490	AT1G03490
AT1G03495	AT1G03495
AT1G03510	AT1G03510
AT1G03520	F21B7-14
AT1G03530	AT1G03530
AT1G03540	AT1G03540
AT1G03550	AT1G03550
AT1G03560	AT1G03560
AT1G03590	AT1G03590
AT1G03600	AT1G03600
AT1G03610	AT1G03610
AT1G03620	AT1G03620
AT1G03630	AT1G03630
AT1G03650	AT1G03650
AT1G03660	AT1G03660
AT1G03670	AT1G03670
AT1G03680	AT1G03680
AT1G03687	AT1G03687
AT1G03700	F21B7-30
AT1G03710	AT1G03710
AT1G03720	F21B7-32
AT1G03730	F21B7-33
AT1G03740	F21B7-34
AT1G03750	AT1G03750
AT1G03760	AT1G03760
AT1G03770	AT1G03770
AT1G03780	AT1G03780
AT1G03790	AT1G03790
AT1G03800	AT1G03800
AT1G03810	AT1G03810
AT1G03820	AT1G03820
AT1G03830	AT1G03830
AT1G03840	AT1G03840
AT1G03850	AT1G03850
AT1G03860	AT1G03860
AT1G03870	AT1G03870
AT1G03880	AT1G03880
AT1G03890	AT1G03890
AT1G03900	AT1G03900
AT1G03905	AT1G03905
AT1G03910	AT1G03910
AT1G03920	AT1G03920
AT1G03930	AT1G03930
AT1G03940	AT1G03940
AT1G03950	AT1G03950
AT1G03960	AT1G03960
AT1G03970	AT1G03970
AT1G03980	AT1G03980
AT1G03982	AT1G03982
AT1G03990	AT1G03990
AT1G04000	AT1G04000
AT1G04010	AT1G04010
AT1G04020	AT1G04020
AT1G04030	AT1G04030
AT1G04040	AT1G04040
AT1G04050	AT1G04050
AT1G04070	AT1G04070
AT1G04080	AT1G04080
AT1G04090	AT1G04090
AT1G04100	AT1G04100
AT1G04105	AT1G04105
AT1G04110	AT1G04110
AT1G04120	AT1G04120
AT1G04130	AT1G04130
AT1G04140	F20D22-9
